GM_NAAM,GM_CODE,OuderRegioCode,GrootOuderRegioCode,TotalVotes,BBB,Average_House_Price,Average_Income,Population_Density,Population_Increase
Groningen,G0014,K1,P20,146649,3331,258.9,23.3,1266,57
Almere,G0034,K5,P24,104685,2721,294.3,24.7,1686,1365
Stadskanaal,G0037,K1,P20,19335,1582,185.5,20.5,271,-189
Veendam,G0047,K1,P20,16441,1013,187.5,21.6,362,-41
Zeewolde,G0050,K5,P24,14376,1071,275.7,25.7,94,140
Achtkarspelen,G0059,K2,P21,17857,1337,216.5,19.9,273,21
Ameland,G0060,K2,P21,3279,457,321.2,22.5,66,0
Harlingen,G0072,K2,P21,10125,515,216.4,21.7,637,-118
Heerenveen,G0074,K2,P21,32637,2446,257.8,23.8,269,-138
Leeuwarden,G0080,K2,P21,76929,3290,215.9,22.5,528,-9
Ooststellingwerf,G0085,K2,P21,16951,2200,238.2,22.0,115,-153
Opsterland,G0086,K2,P21,19765,2135,254.9,22.8,133,-23
Schiermonnikoog,G0088,K2,P21,933,61,350.8,25.3,22,-2
Smallingerland,G0090,K2,P21,34417,1842,233.5,22.2,477,-88
Terschelling,G0093,K2,P21,3848,289,327.5,24.7,57,-28
Vlieland,G0096,K2,P21,967,65,404.1,27.3,29,-3
Weststellingwerf,G0098,K2,P21,17194,2407,233.4,21.7,119,-116
Assen,G0106,K3,P22,42482,1903,228.7,23.8,842,-139
Coevorden,G0109,K3,P22,23524,2983,236.0,23.6,120,-172
Emmen,G0114,K3,P22,66974,4531,205.7,21.8,322,-481
Hoogeveen,G0118,K3,P22,34468,2829,209.7,21.3,438,-191
Meppel,G0119,K3,P22,22557,1464,255.7,24.0,626,-64
Almelo,G0141,K4,P23,40826,1926,210.0,21.5,1089,-75
Borne,G0147,K4,P23,16283,831,270.5,25.0,924,1
Dalfsen,G0148,K4,P23,20344,3455,303.7,24.5,177,-5
Deventer,G0150,K4,P23,62630,6054,264.2,23.9,777,1
Enschede,G0153,K4,P23,88381,2233,236.6,21.4,1141,-387
Haaksbergen,G0158,K4,P23,16620,1571,271.8,24.1,232,-107
Hardenberg,G0160,K4,P23,41499,5919,248.4,21.9,198,66
Hellendoorn,G0163,K4,P23,24620,2795,270.8,23.2,261,-78
Hengelo (O),G0164,K4,P23,50052,1847,233.4,23.7,1339,-147
Kampen,G0166,K4,P23,35412,2228,250.2,21.8,388,180
Losser,G0168,K4,P23,15293,1305,247.5,23.1,234,-24
Noordoostpolder,G0171,K5,P24,28593,3385,226.7,22.5,105,159
Oldenzaal,G0173,K4,P23,20990,863,274.5,24.1,1473,-98
Ommen,G0175,K4,P23,12722,2016,277.2,23.7,103,-35
Raalte,G0177,K4,P23,25886,4558,285.8,23.8,223,-38
Staphorst,G0180,K4,P23,11523,968,265.3,20.7,129,128
Tubbergen,G0183,K4,P23,15120,2546,317.5,23.6,145,-27
Urk,G0184,K5,P24,12746,640,243.1,19.8,1634,300
Wierden,G0189,K4,P23,17103,1702,311.0,24.4,260,-8
Zwolle,G0193,K4,P23,82382,2668,293.1,24.9,1181,338
Aalten,G0197,K7,P25,17746,2764,226.1,22.4,281,-69
Apeldoorn,G0200,K7,P25,101318,4710,287.2,25.4,487,-315
Arnhem,G0202,K7,P25,89130,1661,260.6,24.0,1677,105
Barneveld,G0203,K7,P25,39240,2896,359.1,23.5,345,362
Beuningen,G0209,K6,P25,17131,651,299.3,26.5,602,7
Brummen,G0213,K7,P25,14131,1278,314.1,25.3,250,-117
Buren,G0214,K6,P25,18057,1269,324.9,26.7,203,-5
Culemborg,G0216,K6,P25,18375,505,299.6,26.1,1004,21
Doesburg,G0221,K7,P25,6993,335,256.3,23.2,955,-59
Doetinchem,G0222,K7,P25,37001,2566,256.4,23.7,741,-94
Druten,G0225,K6,P25,12443,720,285.1,24.9,511,-13
Duiven,G0226,K7,P25,16247,762,267.4,25.2,736,-9
Ede,G0228,K7,P25,76555,3556,302.8,24.6,377,387
Elburg,G0230,K7,P25,15588,1044,290.6,22.2,372,50
Epe,G0232,K7,P25,21776,1862,340.9,24.9,213,-119
Ermelo,G0233,K7,P25,17978,1034,338.3,26.2,318,-115
Harderwijk,G0243,K7,P25,29963,1341,321.6,24.1,1255,78
Hattem,G0244,K7,P25,8479,440,296.5,25.9,533,-4
Heerde,G0246,K7,P25,12738,1133,327.5,24.3,242,-84
Heumen,G0252,K6,P25,11351,455,362.6,29.1,432,-28
Lochem,G0262,K7,P25,23932,3519,365.6,27.7,160,-247
Maasdriel,G0263,K6,P25,16104,806,318.2,25.6,387,-27
Nijkerk,G0267,K7,P25,28841,1812,354.3,24.9,639,93
Nijmegen,G0268,K6,P25,112362,1336,293.8,24.2,3391,129
Oldebroek,G0269,K7,P25,15669,1300,284.3,21.9,245,51
Putten,G0273,K7,P25,16731,1541,398.7,24.7,289,-30
Renkum,G0274,K7,P25,20903,492,352.4,29.7,682,-272
Rheden,G0275,K7,P25,27701,954,282.8,25.6,531,-302
Rozendaal,G0277,K7,P25,1249,13,667.4,40.9,63,-5
Scherpenzeel,G0279,K7,P25,6717,555,319.8,23.7,748,45
Tiel,G0281,K6,P25,23288,772,260.8,23.6,1289,-18
Voorst,G0285,K7,P25,16913,2660,344.7,25.8,203,-46
Wageningen,G0289,K7,P25,24798,536,312.9,23.5,1313,-150
Westervoort,G0293,K7,P25,9258,352,249.7,23.8,2132,15
Winterswijk,G0294,K7,P25,18622,2475,214.0,23.2,211,-165
Wijchen,G0296,K6,P25,27182,1158,283.7,25.4,626,-55
Zaltbommel,G0297,K6,P25,18404,766,302.7,24.9,381,102
Zevenaar,G0299,K7,P25,28402,1778,243.5,23.7,482,-108
Zutphen,G0301,K7,P25,31004,1531,266.6,23.5,1181,-219
Nunspeet,G0302,K7,P25,19055,1103,326.6,23.6,219,20
Dronten,G0303,K5,P24,26430,2538,255.6,24.0,128,57
Amersfoort,G0307,K8,P26,98725,2092,358.7,27.5,2538,442
Baarn,G0308,K8,P26,15506,414,431.2,30.8,764,-139
De Bilt,G0310,K8,P26,27597,564,481.4,33.2,657,-133
Bunnik,G0312,K8,P26,10703,468,405.9,30.7,422,20
Bunschoten,G0313,K8,P26,14224,717,326.4,24.1,735,74
Eemnes,G0317,K8,P26,6438,339,423.0,28.7,304,1
Houten,G0321,K8,P26,32340,863,384.7,29.8,917,129
Leusden,G0327,K8,P26,21091,904,354.7,29.4,525,-33
Lopik,G0331,K8,P26,9534,871,350.8,25.5,192,40
Montfoort,G0335,K8,P26,9307,590,337.4,27.2,368,25
Renswoude,G0339,K8,P26,3571,455,336.9,25.4,307,50
Rhenen,G0340,K8,P26,12849,448,360.6,25.1,482,26
