,Consumption1
1976-01-01,213
1976-02-01,204
1976-03-01,206
1976-04-01,188
1976-05-01,189
1976-06-01,188
1976-07-01,190
1976-08-01,202
1976-09-01,204
1976-10-01,219
1976-11-01,220
1976-12-01,229
1977-01-01,221
1977-02-01,196
1977-03-01,219
1977-04-01,210
1977-05-01,209
1977-06-01,201
1977-07-01,181
1977-08-01,198
1977-09-01,203
1977-10-01,225
1977-11-01,234
1977-12-01,234
1978-01-01,225
1978-02-01,216
1978-03-01,216
1978-04-01,209
1978-05-01,206
1978-06-01,201
1978-07-01,205
1978-08-01,221
1978-09-01,226
1978-10-01,236
1978-11-01,232
1978-12-01,247
1979-01-01,248
1979-02-01,220
1979-03-01,231
1979-04-01,212
1979-05-01,217
1979-06-01,211
1979-07-01,198
1979-08-01,204
1979-09-01,214
1979-10-01,252
1979-11-01,249
1979-12-01,251
1980-01-01,253
1980-02-01,231
1980-03-01,243
1980-04-01,220
1980-05-01,222
1980-06-01,207
1980-07-01,209
1980-08-01,220
1980-09-01,228
1980-10-01,245
1980-11-01,241
1980-12-01,249
1981-01-01,242
1981-02-01,214
1981-03-01,236
1981-04-01,223
1981-05-01,226
1981-06-01,223
1981-07-01,229
1981-08-01,221
1981-09-01,230
1981-10-01,248
1981-11-01,240
1981-12-01,254
1982-01-01,252
1982-02-01,223
1982-03-01,234
1982-04-01,240
1982-05-01,220
1982-06-01,212
1982-07-01,215
1982-08-01,214
1982-09-01,222
1982-10-01,236
1982-11-01,229
1982-12-01,237
1983-01-01,226
1983-02-01,204
1983-03-01,227
1983-04-01,216
1983-05-01,220
1983-06-01,213
1983-07-01,210
1983-08-01,213
1983-09-01,201
1983-10-01,220
1983-11-01,238
1983-12-01,250
1984-01-01,229
1984-02-01,206
1984-03-01,184
1984-04-01,165
1984-05-01,180
1984-06-01,177
1984-07-01,179
1984-08-01,194
1984-09-01,205
1984-10-01,217
1984-11-01,218
1984-12-01,224
1985-01-01,222
1985-02-01,192
1985-03-01,200
1985-04-01,183
1985-05-01,194
1985-06-01,197
1985-07-01,194
1985-08-01,186
1985-09-01,189
1985-10-01,207
1985-11-01,218
1985-12-01,214
1986-01-01,230
1986-02-01,203
1986-03-01,213
1986-04-01,207
1986-05-01,207
1986-06-01,204
1986-07-01,203
1986-08-01,203
1986-09-01,202
1986-10-01,236
1986-11-01,229
1986-12-01,232
1987-01-01,188
1987-02-01,154
1987-03-01,167
1987-04-01,156
1987-05-01,152
1987-06-01,169
1987-07-01,201
1987-08-01,193
1987-09-01,204
1987-10-01,230
1987-11-01,231
1987-12-01,247
1988-01-01,211
1988-02-01,192
1988-03-01,210
1988-04-01,191
1988-05-01,192
1988-06-01,181
1988-07-01,176
1988-08-01,201
1988-09-01,222
1988-10-01,222
1988-11-01,226
1988-12-01,232
1989-01-01,217
1989-02-01,183
1989-03-01,195
1989-04-01,189
1989-05-01,191
1989-06-01,199
1989-07-01,198
1989-08-01,200
1989-09-01,211
1989-10-01,225
1989-11-01,212
1989-12-01,234
1990-01-01,216
1990-02-01,183
1990-03-01,199
1990-04-01,186
1990-05-01,203
1990-06-01,196
1990-07-01,202
1990-08-01,215
1990-09-01,205
1990-10-01,227
1990-11-01,223
1990-12-01,237
1991-01-01,230
1991-02-01,213
1991-03-01,208
1991-04-01,200
1991-05-01,207
1991-06-01,204
1991-07-01,216
1991-08-01,217
1991-09-01,205
1991-10-01,228
1991-11-01,232
1991-12-01,245
1992-01-01,238
1992-02-01,224
1992-03-01,228
1992-04-01,202
1992-05-01,209
1992-06-01,213
1992-07-01,217
1992-08-01,213
1992-09-01,227
1992-10-01,251
1992-11-01,242
1992-12-01,244
1993-01-01,289
1993-02-01,258
1993-03-01,246
1993-04-01,226
1993-05-01,219
1993-06-01,238
1993-07-01,232
1993-08-01,237
1993-09-01,242
1993-10-01,248
1993-11-01,254
1993-12-01,288
1994-01-01,290
1994-02-01,235
1994-03-01,261
1994-04-01,263
1994-05-01,260
1994-06-01,265
1994-07-01,256
1994-08-01,267
1994-09-01,242
1994-10-01,273
1994-11-01,279
1994-12-01,284
1995-01-01,274
1995-02-01,259
1995-03-01,282
1995-04-01,261
1995-05-01,261
1995-06-01,273
1995-07-01,263
1995-08-01,268
1995-09-01,281
1995-10-01,292
1995-11-01,285
1995-12-01,318
1996-01-01,318
1996-02-01,290
1996-03-01,291
1996-04-01,267
1996-05-01,292
1996-06-01,276
1996-07-01,282
1996-08-01,291
1996-09-01,304
1996-10-01,325
1996-11-01,295
1996-12-01,335
1997-01-01,345
1997-02-01,290
1997-03-01,295
1997-04-01,286
1997-05-01,273
1997-06-01,290
1997-07-01,306
1997-08-01,284
1997-09-01,281
1997-10-01,299
1997-11-01,298
1997-12-01,307
1998-01-01,309
1998-02-01,274
1998-03-01,303
1998-04-01,286
1998-05-01,271
1998-06-01,258
1998-07-01,275
1998-08-01,288
1998-09-01,297
1998-10-01,314
1998-11-01,306
1998-12-01,322
1999-01-01,298
1999-02-01,281
1999-03-01,295
1999-04-01,282
1999-05-01,278
1999-06-01,277
1999-07-01,297
1999-08-01,303
1999-09-01,295
1999-10-01,327
1999-11-01,327
1999-12-01,339
2000-01-01,316
2000-02-01,305
2000-03-01,322
2000-04-01,292
2000-05-01,307
2000-06-01,282
2000-07-01,295
2000-08-01,302
2000-09-01,302
2000-10-01,308
2000-11-01,317
2000-12-01,310
2001-01-01,343
2001-02-01,305
2001-03-01,337
2001-04-01,312
2001-05-01,290
2001-06-01,298
2001-07-01,308
2001-08-01,314
2001-09-01,300
2001-10-01,341
2001-11-01,338
2001-12-01,340
2002-01-01,361
2002-02-01,302
2002-03-01,340
2002-04-01,330
2002-05-01,322
2002-06-01,301
2002-07-01,323
2002-08-01,316
2002-09-01,299
2002-10-01,330
2002-11-01,337
2002-12-01,347
2003-01-01,350
2003-02-01,319
2003-03-01,319
2003-04-01,309
2003-05-01,313
2003-06-01,316
2003-07-01,329
2003-08-01,337
2003-09-01,321
2003-10-01,312
2003-11-01,322
2003-12-01,329
2004-01-01,332
2004-02-01,333
2004-03-01,327
2004-04-01,319
2004-05-01,314
2004-06-01,330
2004-07-01,353
2004-08-01,352
2004-09-01,341
2004-10-01,326
2004-11-01,348
2004-12-01,340
2005-01-01,349
2005-02-01,326
2005-03-01,321
2005-04-01,320
2005-05-01,336
2005-06-01,328
2005-07-01,300
2005-08-01,318
2005-09-01,326
2005-10-01,319
2005-11-01,337
2005-12-01,360
2006-01-01,331
2006-02-01,339
2006-03-01,407
2006-04-01,280
2006-05-01,296
2006-06-01,284
2006-07-01,327
2006-08-01,342
2006-09-01,325
2006-10-01,350
2006-11-01,329
2006-12-01,344
2007-01-01,359
2007-02-01,351
2007-03-01,350
2007-04-01,313
2007-05-01,303
2007-06-01,306
2007-07-01,309
2007-08-01,339
2007-09-01,333
2007-10-01,385
2007-11-01,389
2007-12-01,383
2008-01-01,371
2008-02-01,348
2008-03-01,359
2008-04-01,337
2008-05-01,295
2008-06-01,312
2008-07-01,322
2008-08-01,320
2008-09-01,303
2008-10-01,389
2008-11-01,373
2008-12-01,378
2009-01-01,389
2009-02-01,355
2009-03-01,358
2009-04-01,319
